full_text,username,created_at,tokenized,stemmed,translated,klasifikasi,skor_polaritas
gerak sah nya ruu tni un,takistzy,Sun Mar 30 23:56:52 +0000 2025,"['gerak', 'sah', 'nya', 'ruu', 'tni', 'un']",gerak sah nya ruu tni un,the validity of the TNI UN Bill,Netral,0.0
kalian semua saya maafkan koruptor hasan nasbi prabowo jokowi jajaran dpr pengesah ruu tni aparat pertamina idfnetanyahu trump putin sok an ikut poros perlawanan denis codeblu willie salim erick thohir amp komdis pssi ai,mieterbang69,Sun Mar 30 23:52:46 +0000 2025,"['kalian', 'semua', 'saya', 'maafkan', 'koruptor', 'hasan', 'nasbi', 'prabowo', 'jokowi', 'jajaran', 'dpr', 'pengesah', 'ruu', 'tni', 'aparat', 'pertamina', 'idfnetanyahu', 'trump', 'putin', 'sok', 'an', 'ikut', 'poros', 'perlawanan', 'denis', 'codeblu', 'willie', 'salim', 'erick', 'thohir', 'amp', 'komdis', 'pssi', 'ai']",kalian semua saya maaf koruptor hasan nasbi prabowo jokowi jajar dpr kesah ruu tni aparat pertamina idfnetanyahu trump putin sok an ikut poros lawan den codeblu willie salim erick thohir amp komdis pssi ai,"I all forgive the corruptor of Hasan Nasbi Prabowo Jokowi, the DPR's Broadcast of the TNI Bill in Pertamina Idfnetanyahu Trump Putin Sok and joined the axis of the resistance of Denis Codeblu Willie Salim Erick Thohir Amp Komdis PSSI AI AI",Netral,0.0
lama banget yaa ga ruu tni,rxkfsl,Sun Mar 30 23:51:05 +0000 2025,"['lama', 'banget', 'yaa', 'ga', 'ruu', 'tni']",lama banget yaa ga ruu tni,It's been a long time since the TNI Bill,Negatif,-0.05
masuknya orangorang militer ranah sipil ranah sipil harusnya steril orangorang punya kuasa atas persenjataan menurutku dwifungsi abri dibawabawa sama masyarakat selama pengesahan ruu tni cuma jadi hiperbola aja lah sama bilang,aeroraya,Sun Mar 30 23:49:30 +0000 2025,"['masuknya', 'orangorang', 'militer', 'ranah', 'sipil', 'ranah', 'sipil', 'harusnya', 'steril', 'orangorang', 'punya', 'kuasa', 'atas', 'persenjataan', 'menurutku', 'dwifungsi', 'abri', 'dibawabawa', 'sama', 'masyarakat', 'selama', 'pengesahan', 'ruu', 'tni', 'cuma', 'jadi', 'hiperbola', 'aja', 'lah', 'sama', 'bilang']",masuk orangorang militer ranah sipil ranah sipil harus steril orangorang punya kuasa atas senjata turut dwifungsi abri dibawabawa sama masyarakat lama kesah ruu tni cuma jadi hiperbola aja lah sama bilang,"The entry of the civilian realm of the civilian domains should be sterile people who have power over the weapons I think the ABRI function is brown by the community during the ratification of the TNI Bill, it only becomes a hyperbole, just saying that",Netral,0.0
mahfud md bilang paling mencolok dwifungsi abri ketiadaan pemilu sosok militer yang mau naik pangkuan kursi politik mereka konstelasi tidak jadi langsung naik pertimbangan rakyat yang jadi keresahan ruu tni,aeroraya,Sun Mar 30 23:47:30 +0000 2025,"['mahfud', 'md', 'bilang', 'paling', 'mencolok', 'dwifungsi', 'abri', 'ketiadaan', 'pemilu', 'sosok', 'militer', 'yang', 'mau', 'naik', 'pangkuan', 'kursi', 'politik', 'mereka', 'konstelasi', 'tidak', 'jadi', 'langsung', 'naik', 'pertimbangan', 'rakyat', 'yang', 'jadi', 'keresahan', 'ruu', 'tni']",mahfud md bilang paling colok dwifungsi abri tiada milu sosok militer yang mau naik pangku kursi politik mereka konstelasi tidak jadi langsung naik timbang rakyat yang jadi resah ruu tni,Mahfud MD said the most striking dwifunction of ABRI absence of elections of military figures who wanted to rise their political seats did not immediately increase the consideration of the people who became anxiety of the TNI Bill,Positif,0.17750000000000002
agenda lebaran sholat ied makan ketupat thr bahas kebobrokan pemerintah keliling rumah sodara bahas kebobrokan pemerintah bahas ruu tni bahas ruu polri bahas rkuhap ngatain prabowo makan bakso,miyaminkomplit,Sun Mar 30 23:47:22 +0000 2025,"['agenda', 'lebaran', 'sholat', 'ied', 'makan', 'ketupat', 'thr', 'bahas', 'kebobrokan', 'pemerintah', 'keliling', 'rumah', 'sodara', 'bahas', 'kebobrokan', 'pemerintah', 'bahas', 'ruu', 'tni', 'bahas', 'ruu', 'polri', 'bahas', 'rkuhap', 'ngatain', 'prabowo', 'makan', 'bakso']",agenda lebaran sholat ied makan ketupat thr bahas bobrok perintah keliling rumah sodara bahas bobrok perintah bahas ruu tni bahas ruu polri bahas rkuhap ngatain prabowo makan bakso,Eid Agenda Eid Ied Prayer Eat the Ketupat THR Discuss the depravity of the government around Sodara's house to discuss the depravity of the Government Discussing the TNI Bill Discussing the National Police Draft Bill Discussing RKUHAP NGATIIN Prabowo Eating Meatballs,Netral,0.0
hadeh orangorang defense pake mahfud md gini tuh sebenernya paham ngtidak sih mahfud md ngomong apaan cuma ngejelasin normatif kalo ruu tni disahkan beda sama dwifungsi abri era orba penerapan dwifungsi tni tetap berlaku ini jadi poin tuntutan,aeroraya,Sun Mar 30 23:45:51 +0000 2025,"['hadeh', 'orangorang', 'defense', 'pake', 'mahfud', 'md', 'gini', 'tuh', 'sebenernya', 'paham', 'ngtidak', 'sih', 'mahfud', 'md', 'ngomong', 'apaan', 'cuma', 'ngejelasin', 'normatif', 'kalo', 'ruu', 'tni', 'disahkan', 'beda', 'sama', 'dwifungsi', 'abri', 'era', 'orba', 'penerapan', 'dwifungsi', 'tni', 'tetap', 'berlaku', 'ini', 'jadi', 'poin', 'tuntutan']",hadeh orangorang defense pake mahfud md gin tuh sebenernya paham ngtidak sih mahfud md ngomong apa cuma ngejelasin normatif kalo ruu tni sah beda sama dwifungsi abri era orba terap dwifungsi tni tetap laku ini jadi poin tuntut,hadeh people Defense use mahfud md like this actually understand that Mahfud md says what is only explaining normative if the TNI Bill is ratified different from the Dwifunction of ABRI Era Era Era Implementation,Netral,0.0
akun maafkan yang terlibat ruu tni,firstemper0r,Sun Mar 30 23:45:07 +0000 2025,"['akun', 'maafkan', 'yang', 'terlibat', 'ruu', 'tni']",akun maaf yang libat ruu tni,the forgive account involved in the TNI Bill,Netral,0.0
sorry yeeee maafkan diri bila setransparan pembuatan ruu tni banyak salah pendirian danantara acap berkata kasar mengucapkan ndasmuu teriring salam kehangatan dapat memenuhi raga makan bergizi gratis,kittendfuzz,Sun Mar 30 23:41:41 +0000 2025,"['sorry', 'yeeee', 'maafkan', 'diri', 'bila', 'setransparan', 'pembuatan', 'ruu', 'tni', 'banyak', 'salah', 'pendirian', 'danantara', 'acap', 'berkata', 'kasar', 'mengucapkan', 'ndasmuu', 'teriring', 'salam', 'kehangatan', 'dapat', 'memenuhi', 'raga', 'makan', 'bergizi', 'gratis']",sorry yeeee maaf diri bila transparan buat ruu tni banyak salah diri danantara acap kata kasar ucap ndasmuu iring salam hangat dapat penuh raga makan gizi gratis,Sorry yeeee forgive yourself if the Setransparent making of the TNI Bill has many wrong establishments and between often say rude to say ndasmuu with greetings of warmth can meet the raga of free nutritious eating,Negatif,-0.08
eh iya bntar kampus gw kan yayasannya parjo wowkwkw kami ngelawan gmn y kocak tp gpp dah dosen w dah terkenal gegara mengkritisi naskah akademik ruu tni,kyeomkye,Sun Mar 30 23:36:04 +0000 2025,"['eh', 'iya', 'bntar', 'kampus', 'gw', 'kan', 'yayasannya', 'parjo', 'wowkwkw', 'kami', 'ngelawan', 'gmn', 'y', 'kocak', 'tp', 'gpp', 'dah', 'dosen', 'w', 'dah', 'terkenal', 'gegara', 'mengkritisi', 'naskah', 'akademik', 'ruu', 'tni']",eh iya bntar kampus gw kan yayasan parjo wowkwkw kami ngelawan gmn y kocak tp gpp dah dosen w dah kenal gegara kritisi naskah akademik ruu tni,"eh yes, but my campus is the foundation, Parjo Wowkwkw, we are fighting, how come it's hilarious, but the lecturer has been famous for criticizing the academic manuscript of the TNI Bill",Positif,0.3333333333333333
