full_text,translated,klasifikasi,prediksi,sentiment
gerak sah nya ruu tni un,the validity of the TNI UN Bill,Netral,Netral,TextBlob analysis used
kalian semua saya maafkan koruptor hasan nasbi prabowo jokowi jajaran dpr pengesah ruu tni aparat pertamina idfnetanyahu trump putin sok an ikut poros perlawanan denis codeblu willie salim erick thohir amp komdis pssi ai,"I all forgive the corruptor of Hasan Nasbi Prabowo Jokowi, the DPR's Broadcast of the TNI Bill in Pertamina Idfnetanyahu Trump Putin Sok and joined the axis of the resistance of Denis Codeblu Willie Salim Erick Thohir Amp Komdis PSSI AI AI",Netral,Netral,TextBlob analysis used
lama banget yaa ga ruu tni,It's been a long time since the TNI Bill,Negatif,Negatif,TextBlob analysis used
masuknya orangorang militer ranah sipil ranah sipil harusnya steril orangorang punya kuasa atas persenjataan menurutku dwifungsi abri dibawabawa sama masyarakat selama pengesahan ruu tni cuma jadi hiperbola aja lah sama bilang,"The entry of the civilian realm of the civilian domains should be sterile people who have power over the weapons I think the ABRI function is brown by the community during the ratification of the TNI Bill, it only becomes a hyperbole, just saying that",Netral,Netral,TextBlob analysis used
mahfud md bilang paling mencolok dwifungsi abri ketiadaan pemilu sosok militer yang mau naik pangkuan kursi politik mereka konstelasi tidak jadi langsung naik pertimbangan rakyat yang jadi keresahan ruu tni,Mahfud MD said the most striking dwifunction of ABRI absence of elections of military figures who wanted to rise their political seats did not immediately increase the consideration of the people who became anxiety of the TNI Bill,Positif,Positif,TextBlob analysis used
agenda lebaran sholat ied makan ketupat thr bahas kebobrokan pemerintah keliling rumah sodara bahas kebobrokan pemerintah bahas ruu tni bahas ruu polri bahas rkuhap ngatain prabowo makan bakso,Eid Agenda Eid Ied Prayer Eat the Ketupat THR Discuss the depravity of the government around Sodara's house to discuss the depravity of the Government Discussing the TNI Bill Discussing the National Police Draft Bill Discussing RKUHAP NGATIIN Prabowo Eating Meatballs,Netral,Netral,TextBlob analysis used
hadeh orangorang defense pake mahfud md gini tuh sebenernya paham ngtidak sih mahfud md ngomong apaan cuma ngejelasin normatif kalo ruu tni disahkan beda sama dwifungsi abri era orba penerapan dwifungsi tni tetap berlaku ini jadi poin tuntutan,hadeh people Defense use mahfud md like this actually understand that Mahfud md says what is only explaining normative if the TNI Bill is ratified different from the Dwifunction of ABRI Era Era Era Implementation,Netral,Netral,TextBlob analysis used
akun maafkan yang terlibat ruu tni,the forgive account involved in the TNI Bill,Netral,Netral,TextBlob analysis used
sorry yeeee maafkan diri bila setransparan pembuatan ruu tni banyak salah pendirian danantara acap berkata kasar mengucapkan ndasmuu teriring salam kehangatan dapat memenuhi raga makan bergizi gratis,Sorry yeeee forgive yourself if the Setransparent making of the TNI Bill has many wrong establishments and between often say rude to say ndasmuu with greetings of warmth can meet the raga of free nutritious eating,Negatif,Negatif,TextBlob analysis used
eh iya bntar kampus gw kan yayasannya parjo wowkwkw kami ngelawan gmn y kocak tp gpp dah dosen w dah terkenal gegara mengkritisi naskah akademik ruu tni,"eh yes, but my campus is the foundation, Parjo Wowkwkw, we are fighting, how come it's hilarious, but the lecturer has been famous for criticizing the academic manuscript of the TNI Bill",Positif,Positif,TextBlob analysis used
puasa selesai perang melawan ruu tni berlanjut selamat idul fitri semoga semua menjadi bagian pasukan memperjuangkan demokrasi,"fasting after the war against the TNI Bill continues to be happy Eid al -Fitr, hopefully all will be part of the troops fighting for democracy",Positif,Positif,TextBlob analysis used
penasaran pembahasan kondisi negara demo menolak uu tni ruu polri akan jadi topik acara silaturahmi halal bihalal reuni lebaran,curious about the discussion of the condition of the state demonstration to reject the TNI Law the National Police Bill will be the topic of the Halal Bihalal Halal Reunion Eid,Negatif,Negatif,TextBlob analysis used
lucu banget semalem gua ngomongin ruu tni cafe komplek tni di cafenya ada botak wkwkwk,Very funny last night I talked about the TNI Cafe Bill in the TNI complex in the cafe there was bald,Positif,Positif,TextBlob analysis used
minal aidin walfaidzin tetap tolak ruu tni,Minal Aidin Walfaidzin remains rejecting the TNI Bill,Netral,Netral,TextBlob analysis used
prinsip sih sbelum wowo ttd statusnya ruu kalauo tih ttd uunya otomatis efektif dlm hari artinya kita dah ganti uu tni kalauo batal balik uu th gimana sih,the principle is before wowo ttd the status of the bill if the TIH is TTD automatically effective in the day means we have changed the TNI Law if it is canceled behind the law,Positif,Positif,TextBlob analysis used
sorry yeeee maafkan diri bila setransparan pembuatan ruu tni banyak salah pendirian danantara acap berkata kasar mengucapkan ndasmu teriring salam kehangatan dapat memenuhi raga makan bergizi gratis oke,Sorry yeeee forgive yourself if the Setransparent Making TNI Bill has many wrong establishments and between often say rude to say your ndas with the warmth of the warmth of being able to fulfill the free nutritional meal okay okay,Positif,Negatif,TextBlob analysis used
happy eid alfitr moots ku seputih kapas sesuci hati sebersih embun pagi segala kerendahan hati diterima permintaan maaf sebesar wajan rendang,Happy Eid Alfitr Moots Ku as white as a cotton cotton Sesi as a clean morning dew all humidity is received by an apology for a rendang pan,Positif,Positif,TextBlob analysis used
pemerintah mendengarkan suara rakyat tolak uu tni ruu kejaksaan mengkhianati demokrasi eid mubarak minal aidzin mohon maaf lahir bathin doang dana kaget the raid cat,The government listens to the voice of the people to reject the TNI Law the Prosecutors' Bill betrayed Eid Mubarak's democracy Minal Aidzin apologized,Netral,Netral,TextBlob analysis used
iyaa salah satu kritik darii pk hendsat menyasar lu omongkn gimana akuntabilitas kedepannya terkait kerugian negara pertamina smpe skarenag isu sdh menurun ditmbh ruu tni,"Yes, one of the criticisms from PK Hendsat targets Lu Omongkn how accountability in the future is related to the loss of the state of Pertamina SMPE SKarenag, the issue has declined by the TNI Bill DitMBH",Netral,Netral,TextBlob analysis used
bahkann pembuatan ruu tni aja ga transparan samsek temen mu bermuka nder hati hati,Even the making of the TNI Bill is not transparent Samsek your friend has an face to be careful,Negatif,Negatif,TextBlob analysis used
ruu tni ruu tni ruu tni ruu tni ruu tni ruu tni ruu tni ruu tni ruu tni ruu tni ruu tni ruu tni,TNI Bill TNI Bill TNI Bill TNI Bill TNI Bill Bill TNI Bill TNI Bill TNI Bill Bill,Netral,Netral,TextBlob analysis used
selamat hari raya idul fitri guys,Happy Eid al -Fitr Guys,Positif,Positif,TextBlob analysis used
allah bapak gw pake sarung lorenggggg nyangka efek ruu tni bakal muncul secepat,"Allah, my father, I use a sarong, I think the effect of the TNI Bill will appear as fast as",Positif,Positif,TextBlob analysis used
semalam twitter ku error bisa kerefresh bisa masuk tbtb tweet soal ruu tni hilang ini berulah tni polri,"Last night my Twitter error could be able to enter TBTB Tweet about the missing TNI Bill, acting on the Indonesian National Police",Positif,Positif,TextBlob analysis used
nih coba deh tonton buzzer di bayar buat ngomong mendukung ruu tni,here try to watch the buzzer paid to talk to support the TNI Bill,Netral,Netral,TextBlob analysis used
untung dodo temenku ga dukung ruu tni bang,Luckily Dodo my friend did not support the TNI Bill Bang,Positif,Positif,TextBlob analysis used
sorry yeeee maafkan diri bila setransparan pembuatan ruu tni banyak salah pendirian danantara acap berkata kasar mengucapkan ndasmuu teriring salam kehangatan dapat memenuhi raga makan bergizi gratis,Sorry yeeee forgive yourself if the Setransparent making of the TNI Bill has many wrong establishments and between often say rude to say ndasmuu with greetings of warmth can meet the raga of free nutritious eating,Negatif,Negatif,TextBlob analysis used
mohon maaf lahir batin kalian semua saya maafkan koruptor hasan nasbi prabowo jokowi jajaran dpr pengesah ruu tni aparat sing senengane ngantemi uwong kemaki lan ora ngayomi indihome pertamina,"Sorry, I all born your physically and mentally, I forgive Corruptor Hasan Nasbi Prabowo Jokowi Parliament of the TNI Bill Sing Senange Ngantemi Uwong Kemaki Lan Ora Ngayomi Indihome Pertamina",Negatif,Negatif,TextBlob analysis used
this gambaran suatu hari apabila ruu tni beneran ga dibatalkan kalo ada bandel bilang nakut in semoga segera sadar kalo ga sadar ya wallahuallam,"This is a picture of one day if the TNI Bill is really not canceled if there is a stubborn saying, hopefully hopefully soon if you don't realize it is wallahuallam",Negatif,Negatif,TextBlob analysis used
demikianlah peran babinsa sistem hirarki tak dia tolakpadahal andai pak babinsa berpikir ruu tni bukan kepentingan dirinya berpangkat rendahtapi hanya tuk yang pamen pati,Thus the role of the Babinsa Hierarchy system he did not refuse to be even if Mr. Babinsa thought the TNI Bill was not his interest,Netral,Netral,TextBlob analysis used
susunan dprri sekarang fraksi partai politik ada unsur tnipolri semua kebijakan pembuatan uuruu sulit pengaruhi tnipolri luar mekanisme sogokmenyogoksuap di dprri kalo pr nya dprri bukan urusan gwlu,The composition of the DPRRI now there is an element of tnipolri all policies for making uuruu are difficult to influence the tnipolri outside the mechanism of bribesoksokuap in the DPRRI if the DPRRI's homework is not the affair of Gwlu,Negatif,Negatif,TextBlob analysis used
makasih,Thanks,Positif,Positif,TextBlob analysis used
lebaran tahun sulit sekali rasanya awal bulan dikejutkan sama banjir kemudian ruu tni teror kepala babi tikus terptidakalau tempo setelahnya arogansi polisi tentara massa aksi ihsg jeblok dollar semakin mahal ferry irwandi kalem,Eid Years It is very difficult to feel the beginning of the month with the flood and then the TNI Terror Bill the head of a mouse pork is an unwilling time if the arrogance of the police army is the action of the IHSG Dollar.,Negatif,Negatif,TextBlob analysis used
nieh fakta seperti pendukung ruu tni di bayar,nieh facts like supporters of the TNI Bill in Paid,Netral,Netral,TextBlob analysis used
yang bela kalo ruu tni tu baik kalangan parjo,the one who is worth it is good among the parjo,Positif,Positif,TextBlob analysis used
pagi dik off dlu mmh mayah mayah,Morning off off mmh maya maya,Netral,Netral,TextBlob analysis used
merdeka pki rusuh pki rusuh peristiwa malari rusuh etnis tionghoa reformasi orba gam kkb ruu tni sibuk banget indonesia selamat idul fitri semuanya minal aidin walfaidzin mohon maaf lahir batin semuanya,Merdeka PKI Riot PKI rioted Malari ethnic Chinese ethnic Reform Gam KKB KKB TNI Bill Very Busy Indonesia Congratulations Eid al -Fitr all Minal Aidin Walfaidzin apologize for all physically and mentally,Positif,Positif,TextBlob analysis used
curangg wkwkwk doktrinnya malah lewat masyarakat ga tau menau mengenai ruu tni bahkan aku yakin juga ga tau tu dampaknyaa bakalan kek manaa kdepannya,"CURAGANG WKWKWK The doctrine even through the community does not know about the TNI Bill, I even believe that I don't know the impact, it will",Netral,Netral,TextBlob analysis used
maksudnya apa mereka mendukung ruu tni,what they mean do they support the TNI Bill,Negatif,Positif,TextBlob analysis used
yaa semoga urusannya cepat selesai sekarang fokus ruu tni,"yeah, hopefully the business will be finished quickly now focus on the TNI Bill",Positif,Positif,TextBlob analysis used
tolak ruu tni ruu polri,Reject the TNI Bill of the National Police Bill,Netral,Netral,TextBlob analysis used
ruu tni ditolak sembako bertindak itung itung ngabisin dana kaget buat kasih teh aer pencinta bansos semoga tidak kejadian penolakan ruu kejaksaan eid mubarak selamat hari raya idul fitri syawal,"The TNI Bill was rejected by the Food Acting Acting Itung to spend the funds shocked to love the tea aer lovers of the social assistance, hopefully the rejection of the Prosecutor's Office Eid Mubarak Happy Eid al -Fitr Syawal",Positif,Positif,TextBlob analysis used
uu perampasan aset penting peraturan membatasi kekuasaan penting tujuan uu tni relevan kondisi masyarakat ini banyak mengalami kerugian akibat oknum berseragam uu tni maupun ruu polri malah memperluas kekuasaan kewenangan,Law Division of Important Assets Limiting Important Power The purpose of the TNI Law is relevant to the condition of this community there are many losses due to unscrupulous uniforms,Positif,Positif,TextBlob analysis used
minal aidzin ga nolak ruu tni ga gue maafin,"Minal aidzin doesn't refuse the TNI Bill, I don't forgive",Netral,Netral,TextBlob analysis used
